English,Spanish (known),Cognate,Portuguese,French,Italian,Romanian,Sardinian (cagliari/campidanese),http://ielex.mpi.nl/wordlist/all/
I,yo,A,eu,je,io,eu,deu,
all,todo,C,todo,tout,tutto,"toti, toate",tottu,
and,y,F,e,et,"e, ed",iar,e,
animal,animal,F,animal,animal,animale,animal,animali,
ashes,cenizas,E,cinzas,cendre,cenere,cenușă,cinizu,
at,a,R,,à,"a, ad",la,a,
back,dorso,H,dorso,dos,dosso,dos,,
bad,malo,D,mau,mauvais,,,malu,
bark,corteza,B,"cortica, casca",écorce,"corteccia, scorza",scoarță,krozu,
because,porque,"F, H",porque,parce que,perchè,,,
belly,vientre,E,ventre,ventre,ventre,,brenti,
big,grande,D,grandi,grand,grande,,,
bird,ave,F,ave,oiseau,uccello,,,
bite,morder,G,morder,mordre,modere,,,
black,negro,F,negro,noir,nero,negru,nieddu,
blood,sangre,G,sangue,sang,sangue,sânge,sambene,
blow,soplar,A,soprar,souffler,soffiare,a sufla,sulare,
bone,hueso,D,osso,os,osso,os,ossu,
breast,teta,M,,téton,,,,
breathe,respirar,L,respirar,respirer,respirare,,respirai,
burn,arder,I,arder,,ardere,a arde,,
child,niño,J,menino,,,,,
cloud,nube,F,nuvem,nuage,"nuvola, nube",nor,nui,
cold,frío,E,frio,froid,freddo,,friru,
come,venir,B,vir,venir,venire,a veni,benni,
count,contar,D,contar,compter,contare,,konti,
cut,cortar,E,cortar,,,,,
day,dia,C,dia,jour,giorno,zi,di,
die,morir,A,morrer,mourir,morire,a muri,morri,
dig,cavar,G,cavar,,scavare,,skavai,
dirty,sucio,Ac,sujo,,,,,
dog,perro,?,,,,,,
drink,beber,C,beber,boire,bere,a bea,buffai,
dry,seco,G,seco,sec,,,siccu,
dull,embotado,E,embotado,,,,,
dust,polvo,F,poeira,poussière,polvere,pulbere,pruini,
ear,oreja,B,orelha,oreille,orecchio,ureche,uriga,
earth,tierra,F,terra,terre,terra,,terra,
eat,comer,"B, D",comer,,,,,
egg,huevo,A,ovo,oeuf,uovo,ou,ou,
eye,ojo,B,olho,oeil,occhio,ochi,ogu,
fall,caer,G,cair,,cadere,a cădea,,
far,lejos,N,,,,,,
fat,grassa,I,,graisse,grasso,grăsime,grassu,
father,padre,A,pai,père,padre,,,
fear,temer,F,temer,,temere,a se teme,timmi,
feather,pluma,E,pluma,plume,piuma,,,
few,poco,F,pouco,peu,poco,,pagus,
fight,combatir,X (?),combater,se battre,combattere,a (se) bate,,
fingernail,uña,A,,ongle,unghia,unghie,,
fire,fuego,F,fogo,feu,fuoco,foc,fogu,
fish,pez,B,peixe,poisson,pesce,pește,pissi,
